Metric,Bias,Bias,Bias,Bias,RMSE,RMSE,RMSE,RMSE,CRPS,CRPS,CRPS,CRPS,SCRPS,SCRPS,SCRPS,SCRPS
Model,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E
Location_0,-0.1283390671014785,-0.0608615987002849,0.0093765147030353,-0.1226470023393631,0.7287408709526062,0.7560921907424927,0.7385374903678894,0.691307008266449,0.3112648725509643,0.2976024746894836,0.2875044643878937,0.2952272295951843,0.75798499584198,0.7395586371421814,0.7196716070175171,0.7321767210960388
Location_1,0.0228868387639522,0.0241813883185386,0.0222805049270391,0.029567953199148178,0.6775220632553101,0.7160676121711731,0.7189542651176453,0.625769317150116,0.2771142721176147,0.2762651145458221,0.2707263827323913,0.2729335427284241,0.6988531351089478,0.7033874988555908,0.6860301494598389,0.6947470903396606
Location_2,0.0557840503752231,0.0593512244522571,0.0789783895015716,0.15280558168888092,0.8123162984848022,0.8460552096366882,0.8273820877075195,0.7974146008491516,0.3361257910728454,0.3270230591297149,0.3226841986179352,0.33675241470336914,0.7963594794273376,0.7872963547706604,0.7757951617240906,0.801116406917572
Location_3,-0.0276110582053661,0.0340748988091945,0.0371838100254535,-0.042317599058151245,0.8196097612380981,0.8471491932868958,0.8434794545173645,0.7832966446876526,0.3239687979221344,0.3185888528823852,0.3138360679149627,0.30891185998916626,0.7762145400047302,0.778654158115387,0.7657818794250488,0.7578945755958557
Location_4,-0.0996912792325019,0.0138601073995232,0.0125829074531793,0.05409732833504677,0.7505276799201965,0.7695948481559753,0.7690693736076355,0.6569017171859741,0.3204571604728699,0.3100591599941253,0.3023075759410858,0.2805520296096802,0.7683137059211731,0.7607777714729309,0.7392218708992004,0.7169941663742065
Location_5,-0.0841920748353004,0.0418385565280914,-0.0106649072840809,0.033250968903303146,0.8629849553108215,0.8629648089408875,0.8542580008506775,0.8277868032455444,0.3483541905879974,0.3375103175640106,0.3243598639965057,0.3309728801250458,0.8102782964706421,0.8026576042175293,0.7758052945137024,0.7916194200515747
Location_6,-0.0112073700875043,0.0058809504844248,0.0174494385719299,-0.051861491054296494,0.922683596611023,0.95396625995636,0.942122220993042,0.8703657984733582,0.396526038646698,0.3755396008491516,0.371209442615509,0.37870359420776367,0.8681327104568481,0.8536980748176575,0.8414052128791809,0.8513854742050171
Location_7,0.0844376534223556,0.0534845553338527,0.0606349445879459,0.059806909412145615,0.7448174953460693,0.7769522070884705,0.7811062335968018,0.7214905619621277,0.3057003319263458,0.3013956844806671,0.2931320071220398,0.30101919174194336,0.7426624298095703,0.7422482967376709,0.7232263684272766,0.7446545958518982
Location_8,0.2531586289405823,0.1389911621809005,0.1578800678253173,0.13597851991653442,0.849557638168335,0.8124240636825562,0.8574674129486084,0.7548101544380188,0.3512925803661346,0.3132539391517639,0.3225432336330414,0.3099709153175354,0.8168121576309204,0.7693693041801453,0.7819793820381165,0.7613510489463806
Location_9,-0.082253910601139,-0.0136581929400563,-0.0213699713349342,0.0061045135371387005,0.7885934114456177,0.8227745294570923,0.8106775283813477,0.759726881980896,0.3260734379291534,0.3220418989658355,0.3095554113388061,0.3223594129085541,0.7786345481872559,0.779907763004303,0.7529121041297913,0.7764904499053955
Location_10,-0.0877684205770492,-0.0194066055119037,0.0194249898195266,-0.009580091573297977,0.7310165166854858,0.756191611289978,0.7282031774520874,0.6593670845031738,0.3098427355289459,0.2988888919353485,0.2864471077919006,0.2891170084476471,0.7542073130607605,0.7408598065376282,0.7122992873191833,0.7276346683502197
Location_11,0.1164139434695243,0.0823500901460647,0.0920332819223404,0.11021293699741364,0.7944315671920776,0.8198441863059998,0.8334724307060242,0.7879385948181152,0.3285273015499115,0.3303774893283844,0.3242014348506927,0.3297566771507263,0.7772969007492065,0.7856549024581909,0.7703063488006592,0.7808341979980469
Location_12,0.06437948346138,0.0585793517529964,0.0434790141880512,0.10082437098026276,0.7544698715209961,0.8039823770523071,0.7795606851577759,0.7233089804649353,0.3058027327060699,0.312922328710556,0.2970638871192932,0.31136900186538696,0.7488345503807068,0.7639893293380737,0.7319341897964478,0.7611997127532959
Location_13,-0.149437740445137,-0.0249154027551412,-0.0335123874247074,-0.062142591923475266,0.9224466681480408,0.9328592419624328,0.9035703539848328,0.8742495775222778,0.4182029664516449,0.3909142315387726,0.3751259744167328,0.3954988121986389,0.9025083184242249,0.8706701993942261,0.8453096747398376,0.8788841962814331
Location_14,-0.0287607014179229,0.0283640995621681,0.0114807011559605,0.05473653972148895,0.8001715540885925,0.8430306911468506,0.8194049596786499,0.7080883383750916,0.3394184112548828,0.3286771178245544,0.3205145001411438,0.3118973970413208,0.7909777164459229,0.7841324210166931,0.7608975172042847,0.7609277963638306
Location_15,0.3444021046161651,0.1696146428585052,0.1424677520990371,0.11557015776634216,0.8621069192886353,0.8408628106117249,0.8850991129875183,0.7419247627258301,0.3738488554954529,0.3360008299350738,0.3301236033439636,0.31279242038726807,0.8531590104103088,0.8006972670555115,0.7942771315574646,0.764773964881897
Location_16,-0.0275586154311895,0.0200544856488704,0.0186804477125406,0.01939709112048149,0.8235689997673035,0.8500990271568298,0.8379243612289429,0.806578516960144,0.349029004573822,0.3438021540641784,0.3357737958431244,0.34658631682395935,0.8167040944099426,0.81267911195755,0.7951675057411194,0.8191718459129333
Location_17,-0.0149895595386624,-0.0048282057978212,-0.0023275837302207,-0.008295022882521152,0.7686113715171814,0.7997503280639648,0.7785627841949463,0.7194869518280029,0.3158206045627594,0.3094611167907715,0.2976394295692444,0.29728278517723083,0.7662561535835266,0.7610114812850952,0.7366237044334412,0.7400951385498047
Location_18,0.129963144659996,0.0975473448634147,0.083455890417099,0.09620420634746552,0.8947768211364746,0.9152786731719972,0.9483562707901,0.8586283326148987,0.3602328300476074,0.3581324517726898,0.3521739244461059,0.35043227672576904,0.8232319355010986,0.8250974416732788,0.8174031972885132,0.8147230744361877
Location_19,-0.0819910392165184,0.0106008592993021,-0.0163313075900077,-0.014070067554712296,0.8504105806350708,0.8805541396141052,0.8507025241851807,0.8270392417907715,0.3661746978759765,0.3536370694637298,0.3376605212688446,0.3559119999408722,0.8335325121879578,0.822231650352478,0.7926788926124573,0.8247024416923523
Location_20,-0.027108609676361,0.0226045008748769,0.0230666995048522,0.005523900035768747,0.7630927562713623,0.7854313850402832,0.7615715861320496,0.7058461904525757,0.318347692489624,0.3040915131568908,0.2934654355049133,0.2962074875831604,0.7659498453140259,0.7506816983222961,0.7281490564346313,0.7364256381988525
Location_21,-0.1387088298797607,-0.0402326136827468,-0.0255755353718996,-0.08021032810211182,0.8206921219825745,0.8296223878860474,0.7899856567382812,0.745872974395752,0.3615789711475372,0.3398979902267456,0.3198514580726623,0.3288426101207733,0.8333228826522827,0.804095447063446,0.7633296847343445,0.7896572947502136
Location_22,-0.0793727561831474,0.0045561012811958,0.0047326446510851,-0.0017492045881226659,0.7405056357383728,0.7452338933944702,0.735830545425415,0.6716762185096741,0.3123278021812439,0.2964609265327453,0.2855788171291351,0.2871987819671631,0.7601911425590515,0.7391441464424133,0.7140089273452759,0.7212483882904053
Location_23,0.1594954282045364,0.1302342265844345,0.1047225594520568,0.10881834477186203,0.7646901607513428,0.8093951940536499,0.782390296459198,0.7582811117172241,0.3092086315155029,0.3074854016304016,0.2891053259372711,0.30323171615600586,0.7554446458816528,0.760444700717926,0.7270769476890564,0.7497172951698303
Location_24,-0.1232950761914253,-0.0603519491851329,-0.0261162351816892,-0.08930802345275879,0.8734236359596252,0.9009665250778198,0.8834913969039917,0.874162495136261,0.3824951946735382,0.366946816444397,0.3545266389846802,0.3655547797679901,0.8510515093803406,0.8393792510032654,0.8132391571998596,0.8382630348205566
